IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.77.103,2052,2052,false,HKG,Asia Pacific,Hong Kong,536,10.49
47.243.206.150,2095,2095,false,HKG,Asia Pacific,Hong Kong,211,10.46
8.218.243.95,2086,2086,false,HKG,Asia Pacific,Hong Kong,221,10.45
47.243.91.58,80,80,false,HKG,Asia Pacific,Hong Kong,210,10.40
47.238.6.102,8880,8880,false,HKG,Asia Pacific,Hong Kong,224,10.39
8.218.142.253,2052,2052,false,HKG,Asia Pacific,Hong Kong,245,10.39
47.76.204.76,2095,2095,false,HKG,Asia Pacific,Hong Kong,205,10.35
8.217.251.62,2086,2086,false,HKG,Asia Pacific,Hong Kong,232,10.34
47.243.206.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,226,10.34
47.242.183.7,2087,2087,true,HKG,Asia Pacific,Hong Kong,378,10.24
8.218.181.189,8880,8880,false,HKG,Asia Pacific,Hong Kong,230,10.18
47.76.204.76,8880,8880,false,HKG,Asia Pacific,Hong Kong,228,10.17
8.218.155.238,8080,8080,false,HKG,Asia Pacific,Hong Kong,228,10.15
47.238.6.102,8080,8080,false,HKG,Asia Pacific,Hong Kong,200,10.14
8.210.192.93,8880,8880,false,HKG,Asia Pacific,Hong Kong,273,10.10
8.218.243.95,8880,8880,false,HKG,Asia Pacific,Hong Kong,212,10.10
8.210.192.93,2082,2082,false,HKG,Asia Pacific,Hong Kong,236,10.08
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,215,10.03
8.218.65.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,215,10.02
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,651,10.00
47.242.174.27,8880,8880,false,HKG,Asia Pacific,Hong Kong,215,9.99
8.218.243.95,80,80,false,HKG,Asia Pacific,Hong Kong,204,9.99
8.218.126.53,8880,8880,false,HKG,Asia Pacific,Hong Kong,226,9.96
47.243.206.150,80,80,false,HKG,Asia Pacific,Hong Kong,227,9.95
47.76.192.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,505,9.94
47.76.227.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,242,9.92
47.76.204.76,80,80,false,HKG,Asia Pacific,Hong Kong,226,9.92
47.76.189.102,2083,2083,true,HKG,Asia Pacific,Hong Kong,222,9.89
8.217.251.62,8080,8080,false,HKG,Asia Pacific,Hong Kong,243,9.86
